model,coverage mean,coverage std
model_train_1.pkl,12.825698988697203,2.658931836367242
model_train_1692.pkl,13.160321237358716,2.2761257022856585
model_test_1900.pkl,13.057703747769185,2.146276417601668
model_train_24.pkl,12.932778108268886,2.5673414550475675
model_train_2.pkl,13.145449137418202,2.2156778724339476
model_train_581.pkl,11.320642474717431,2.6015022680749404
model_train_336.pkl,12.03896490184414,1.6750401994268846
model_train_83.pkl,12.35871505056514,1.9253942351583961
model_test_500.pkl,13.027959547888162,2.3871087116011718
model_test_800.pkl,12.729030339083879,1.7942244024018277
model_test_3900.pkl,13.08744794765021,2.1290801869835074
model_test_9200.pkl,12.439024390243905,2.8914605811451586
model_train_82.pkl,12.520820939916717,2.3951141801265186
model_test_100.pkl,12.668054729327782,2.2943442647082968
model_train_1104.pkl,12.684414039262347,3.2821848538444836
model_train_224.pkl,13.398274836406902,2.6824622420191258
model_train_8.pkl,12.392920880428317,1.7953162686206197
